product_name,product_type,clean_ingreds,price,product_url
Peter Thomas Roth Retinol Fusion PM 30ml,Serum,"['cyclopentasiloxane', 'squalene', 'water', 'retinol', 'tocopheryl acetate', 'ascorbyl palmitate', 'bisabolol', 'lecithin', 'potassium phosphate', 'pentylene glycol', 'polysorbate-20', 'alcohol']",£55.50,https://www.lookfantastic.com/peter-thomas-roth-retinol-fusion-pm-30ml/11289146.html
Mauli Supreme Skin Rose Mist,Mist,"['rosa damascena', 'aloe barbadenis extract', 'water', 'sodium hyaluronate', 'curcuma longa root extract', 'melia azadirachta flower extract', 'ocimum sanctum extract', 'loniera caprifolium flower extract (japanese melsuckle)', 'lonicera japonica flower extract (japanese melsuckle)']",£36.00,https://www.lookfantastic.com/mauli-supreme-skin-rose-mist/12036905.html
REN Clean Skincare Evercalm Overnight Recovery Balm 30ml,Balm,"['coco-caprylate', 'glycerin', 'water', 'almond/borage/linseed/olive acids/glycerides', 'polyglyceryl-6 distearate', 'simmondsia chinensis leaf extract', 'oryza sativa bran', 'cetyl alcohol', 'glyceryl stearate', 'helianthus annuus seed oil', 'glyceryl caprylate', 'cera alba', 'sodium stearoyl glutamate', 'benzyl alcohol', 'parfum', 'hippophae rhamnoides extract', 'tocopherol', 'magnesium carboxymethyl beta-glucan', 'dehydroacetic acid', 'eclipta prostrata extract', 'eclipta prostrata extract', 'moringa oleifera seed oil', 'helianthus annuus seed oil', 'rosmarinus officinalis extract', 'citronellol', 'geraniol', 'limonene', 'linalool']",£40.00,https://www.lookfantastic.com/ren-clean-skincare-evercalm-overnight-recovery-balm/11791500.html
First Aid Beauty Ultra Repair Intensive Lip Balm (10g),Balm,"['cera alba', ""cire d'abeille)"", 'water', 'carthamus tinctorius extract', 'prunus amygdalus dulcis', 'butyrospermum parkii', 'lecithin', 'theobroma cacao extract', 'capric triglyceride', 'glycerin', 'aroma', 'triticum vulgare bran extract', 'colloidal oatmeal', 'urea', 'mel', 'miel)', 'chrysanthemum parthenium (feverfew) extract', 'camellia sinensis extract', 'glycyrrhiza glabra root extract', 'propolis extract', 'allantoin', 'vanilla planifolia extract', 'butylene glycol', 'caprylyl glycol', 'phenoxyethanol', 'leuconostoc/radish root ferment filtrate', 'sodium hydroxide', 'edta', 'eugenol']",£16.00,https://www.lookfantastic.com/first-aid-beauty-ultra-repair-intensive-lip-balm-10g/11244945.html
AHAVA Single Use Mud Mask 8ml,Mask,"['kaolin', 'silt', 'water', 'cocamide mea', 'dmdm hydantoin', 'sodium lauroamphoacetate', 'sodium trideceth sulfate', 'propanediol', 'glyceryl stearate', 'ethylhexyl palmitate', 'aloe barbadenis extract', 'propylene glycol', 'glycerin', 'simmondsia chinensis leaf extract', 'ceteareth-30', 'cetearyl alcohol', 'maris aqua', 'sodium lactate', 'zinc oxide', 'caprylyl glycol', 'chlorphenesin', 'phenoxyethanol', 'panthenol', 'chamomilla recutita flower oil', 'stearyl alcohol', 'magnesium aluminum silicate', 'hydroxyethyl cellulose', 'peg-40 stearate', 'allantoin', 'lactic acid', 'dimethicon', 'sorbitan tristearate', 'xanthan gum', 'peg-5 cocoate', 'peg-8 dicocoate', 'peg-9', 'iodopropynyl butylcarbamate', 'triclosan', 'methylisothiazolinone', 'bha', 'tocopherol']",£2.36,https://www.lookfantastic.com/ahava-single-use-mud-mask-8ml/12054135.html
AHAVA Purifying Mud Mask 100ml,Mask,"['kaolin', 'silt', 'water', 'cocamide mea', 'dmdm hydantoin', 'sodium lauroamphoacetate', 'sodium trideceth sulfate', 'propanediol', 'glyceryl stearate', 'ethylhexyl palmitate', 'aloe barbadenis extract', 'propylene glycol', 'glycerin', 'simmondsia chinensis leaf extract', 'ceteareth-30', 'cetearyl alcohol', 'maris aqua', 'sodium lactate', 'zinc oxide', 'caprylyl glycol', 'chlorphenesin', 'phenoxyethanol', 'panthenol', 'chamomilla recutita flower oil', 'stearyl alcohol', 'magnesium aluminum silicate', 'hydroxyethyl cellulose', 'peg-40 stearate', 'allantoin', 'lactic acid', 'dimethicon', 'sorbitan tristearate', 'xanthan gum', 'peg-5 cocoate', 'peg-8 dicocoate', 'peg-9', 'iodopropynyl butylcarbamate', 'triclosan', 'methylisothiazolinone', 'bha', 'tocopherol']",£28.99,https://www.lookfantastic.com/ahava-purifying-mud-mask-100ml/11286067.html
Estée Lauder Resilience Multi-Effect Tri-Peptide Eye Crème 15ml,Eye Care,"['alcohol denat', 'parfum', 'water', 'dipropylene glycol', 'ethylhexyl methoxycinnamate', 'butyl methoxydibenzoylmethane', 'ethylhexyl salicylate', 'bht', 'linalool', 'benzyl salicylate', 'hexyl cinnamal', 'alpha-isomethyl ionone', 'limonene', 'geraniol', 'citral', 'citronellol', 'benzyl alcohol', 'farnesol', 'amyl cinnamal']",£44.10,https://www.lookfantastic.com/estee-lauder-resilience-multi-effect-tri-peptide-eye-creme-15ml/11995366.html
MAC Fast Response Eye Cream 15ml,Eye Care,"['dimethicon', 'isododecane', 'water', 'polysilicone-11', 'polyethylene', 'butylene glycol', 'cyclopentasiloxane', 'hexyldecyl stearate', 'caffeinee', 'tocopheryl acetate', 'sodium hyaluronate', 'retinyl palmitate', 'faex extract', 'triticum vulgare bran extract', 'hordeum vulgare extract', 'pyrus malus flower extract', 'cucumis sativus extract', 'helianthus annuus seed oil', 'centella asiatica extract', 'saccharomyces lysate extract', 'squalene', 'methyldihydrojasmonate', 'phytosphingosine', 'quaternium-18 bentonite', 'propylene carbonate', 'polymethyl methacrylate', 'cetyl dimethicon', 'dimethicon', 'tetrasodium edta', 'sodium dehydroacetate', 'phenoxyethanol']",£22.00,https://www.lookfantastic.com/mac-fast-response-eye-cream/11471912.html
OSKIA Renaissance Cleansing Gel (100ml),Cleanser,"['capric triglyceride', 'glycerin', 'water', 'cetearyl olivate', 'sucrose laurate', 'benzyl alcohol', 'sorbitan olivate', 'sucrose palmitate', 'parfum', 'geraniol', 'dimethyl sulfone', 'citronellol', 'dehydroacetic acid', 'cucurbita pepo seed oil', 'borago officinalis seed oil', 'sucrose stearate', 'linalool', 'retinyl palmitate', 'ci 77491', 'simmondsia chinensis leaf extract', 'tocopherol', 'ascorbyl palmitate']",£35.00,https://www.lookfantastic.com/oskia-renaissance-cleansing-gel-100ml/10960901.html
Erno Laszlo Sea Mud Deep Cleansing Bar (100g),Cleanser,"['sodium palmate', 'sodium palm kernelate', 'water', 'silt', 'charcoal powder', 'parfum', 'sodium chloride', 'glycerin', 'tetrasodium edta', 'tetrasodium etidronate', 'evernia prunastri (oakmoss) extract', 'benzyl cinnamate', 'benzyl benzoate', 'ci 77489', 'ci 77289', 'titanium dioxide']",£35.00,https://www.lookfantastic.com/erno-laszlo-sea-mud-deep-cleansing-bar-100g/11314429.html
