date_updated,category_id,category_name,product_id,product_url,meta_title,title_content,meta_img,img_content
2021-11-03 06:31:24.974463,9,Moisturizer,25,https://www.lookfantastic.com/the-ordinary-natural-moisturising-factors-ha-30ml/11396687.html,"<meta content=""The Ordinary Natural Moisturising Factors + HA 30ml"" property=""og:title""/>","The Ordinary Natural Moisturising Factors + HA 30ml","<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11396687-4734901905523595.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11396687-4734901905523595.jpg
2021-11-03 06:31:27.699602,9,Moisturizer,26,https://www.lookfantastic.com/cerave-facial-moisturising-lotion-spf-25-52ml/11798689.html,"<meta content=""CeraVe Facial Moisturising Lotion SPF 25 52ml"" property=""og:title""/>","CeraVe Facial Moisturising Lotion SPF 25 52ml","<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11798689-6104774892950815.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11798689-6104774892950815.jpg
2021-11-02,9,Moisturizer,31,https://www.lookfantastic.com/cerave-facial-moisturising-lotion-no-spf-52ml/11798688.html,"<meta content...test>","CeraVe Facial Moisturising Lotion No SPF 52ml","<meta content=...test>",https://static.thcdn.com/images/small/webp/productimg/960/960/11798688-1194696099173549.jpg
2021-11-03 18:54:53.107644,Cleanser,507,https://www.lookfantastic.com/cerave-hydrating-cleanser-236ml/11798700.html,"<meta content=""CeraVe Hydrating Cleanser 236ml"" property=""og:title""/>","CeraVe Hydrating Cleanser 236ml","<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11798700-1944898991205302.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11798700-1944898991205302.jpg
2021-11-03 18:54:56.124787,1,Cleanser,508,https://www.lookfantastic.com/cerave-foaming-facial-cleanser-473ml/11798697.html,"<meta content=""CeraVe Foaming Facial Cleanser 473ml"" property=""og:title""/>","CeraVe Foaming Facial Cleanser 473ml","<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11798697-7344774893144504.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11798697-7344774893144504.jpg
2021-11-03 18:55:50.135589,1,Cleanser,509,https://www.lookfantastic.com/cerave-smoothing-cleanser-236ml/12207663.html,"<meta content=""CeraVe Smoothing Cleanser 236ml"" property=""og:title""/>","CeraVe Smoothing Cleanser 236ml","<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/12207663-2804774893228534.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/12207663-2804774893228534.jpg
2021-11-03 18:55:52.868688,1,Cleanser,510,https://www.lookfantastic.com/cosrx-salicylic-acid-daily-gentle-cleanser-170g/11540297.html,"<meta content=""COSRX Salicylic Acid Daily Gentle Cleanser 170g"" property=""og:title""/>","COSRX Salicylic Acid Daily Gentle Cleanser 170g","<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11540297-1054840932408354.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11540297-1054840932408354.jpg
2021-11-03 18:55:55.561549,1,Cleanser,511,https://www.lookfantastic.com/la-roche-posay-effaclar-h-hydrating-cleansing-cream-200ml/11227837.html,"<meta content=""La Roche-Posay Effaclar H Hydrating Cleansing Cream (200ml)"" property=""og:title""/>","La Roche-Posay Effaclar H Hydrating Cleansing Cream (200ml)","<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11227837-8035383065020717.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11227837-8035383065020717.jpg9,Moisturizer,27,https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml/11363395.html,"<meta content=""The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml"" property=""og:title""/>",The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11363395-1014901836846776.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11363395-1014901836846776.jpg,2021-11-03 21:29:19.741278
2021-11-03 21:29:22.921069,9,Moisturizer,28,https://www.lookfantastic.com/ameliorate-transforming-body-lotion-200ml/11865352.html,"<meta content=""AMELIORATE Transforming Body Lotion 200ml"" property=""og:title""/>",AMELIORATE Transforming Body Lotion 200ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/12673785-7394880128026792.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/12673785-7394880128026792.jpg
2021-11-03 21:29:26.475507,9,Moisturizer,29,https://www.lookfantastic.com/cerave-moisturising-cream-454g/11798691.html,"<meta content=""CeraVe Moisturising Cream 454g"" property=""og:title""/>",CeraVe Moisturising Cream 454g,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11798691-6724686227473584.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11798691-6724686227473584.jpg
2021-11-03 21:29:29.221173,9,Moisturizer,30,https://www.lookfantastic.com/cerave-moisturising-lotion-473ml/11798695.html,"<meta content=""CeraVe Moisturising Lotion for Dry to Very Dry Skin 473ml"" property=""og:title""/>",CeraVe Moisturising Lotion for Dry to Very Dry Skin 473ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11798695-3274774893056304.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11798695-3274774893056304.jpg
2021-11-03 21:30:14.805850,9,Moisturizer,32,https://www.lookfantastic.com/the-ordinary-natural-moisturizing-factors-ha-100ml/11638505.html#,"<meta content=""The Ordinary Natural Moisturizing Factors + HA 100ml"" property=""og:title""/>",The Ordinary Natural Moisturizing Factors + HA 100ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11638505-4814901837569779.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11638505-4814901837569779.jpg
2021-11-03 22:20:52.452191,9,Moisturizer,27,https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml/11363395.html,"<meta content=""The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml"" property=""og:title""/>",The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11363395-1014901836846776.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11363395-1014901836846776.jpg
2021-11-03 22:20:55.255529,9,Moisturizer,33,https://www.lookfantastic.com/cerave-smoothing-cream-177ml/12207665.html,"<meta content=""CeraVe Smoothing Cream 177ml"" property=""og:title""/>",CeraVe Smoothing Cream 177ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/12207665-5314768662560220.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/12207665-5314768662560220.jpg
2021-11-03 22:21:03.927696,9,Moisturizer,34,https://www.lookfantastic.com/clinique-moisture-surge-72-hour-moisturiser-75ml/12506978.html,"<meta content=""Clinique Moisture Surge 72 Hour Moisturiser 75ml (Worth £46.00)"" property=""og:title""/>",Clinique Moisture Surge 72 Hour Moisturiser 75ml (Worth £46.00),"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/12506978-3444773348840063.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/12506978-3444773348840063.jpg
2021-11-03 22:21:06.786105,9,Moisturizer,35,https://www.lookfantastic.com/avene-antirougeurs-jour-redness-relief-moisturizing-protecting-cream-40ml/11117577.html,"<meta content=""Avène Antirougeurs Jour Redness Relief Moisturizing Protecting Cream (40ml)"" property=""og:title""/>",Avène Antirougeurs Jour Redness Relief Moisturizing Protecting Cream (40ml),"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11117577-1204786221784362.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11117577-1204786221784362.jpg
2021-11-03 22:21:51.564662,9,Moisturizer,36,https://www.lookfantastic.com/clinique-dramatically-different-moisturizing-lotion-125ml-with-pump/11144716.html,"<meta content=""Clinique Dramatically Different Moisturising Lotion+ 125ml with Pump"" property=""og:title""/>",Clinique Dramatically Different Moisturising Lotion+ 125ml with Pump,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11144716-1234617742859979.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11144716-1234617742859979.jpg
2021-11-03 22:21:54.372848,9,Moisturizer,37,https://www.lookfantastic.com/weleda-skin-food-75ml/10540680.html,"<meta content=""Weleda Skin Food (75ml)"" property=""og:title""/>",Weleda Skin Food (75ml),"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/10540680-1584866125211771.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/10540680-1584866125211771.jpg
2021-11-03 22:21:57.159612,9,Moisturizer,38,https://www.lookfantastic.com/neutrogena-hydro-boost-city-shield-spf-moisturiser/11433781.html,"<meta content=""Neutrogena Hydro Boost City Shield SPF25 Moisturiser and Facial Sunscreen 50ml"" property=""og:title""/>",Neutrogena Hydro Boost City Shield SPF25 Moisturiser and Facial Sunscreen 50ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11433781-1354646072229153.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11433781-1354646072229153.jpg
2021-11-03 22:22:52.505344,9,Moisturizer,39,https://www.lookfantastic.com/embryolisse-lait-creme-concentre-75ml/11118731.html,"<meta content=""Embryolisse Lait-Crème Concentré Multi-Purpose Moisturiser 75ml"" property=""og:title""/>",Embryolisse Lait-Crème Concentré Multi-Purpose Moisturiser 75ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11118731-1274905484791816.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11118731-1274905484791816.jpg
2021-11-03 22:22:56.178543,9,Moisturizer,40,https://www.lookfantastic.com/la-roche-posay-effaclar-h-moisturiser-40ml/11091824.html,"<meta content=""La Roche-Posay Effaclar H Moisturiser 40ml"" property=""og:title""/>",La Roche-Posay Effaclar H Moisturiser 40ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11091824-1614579472870916.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11091824-1614579472870916.jpg
2021-11-03 22:22:58.957505,9,Moisturizer,41,https://www.lookfantastic.com/bulldog-original-moisturiser-100ml/10599976.html,"<meta content=""Bulldog Original Moisturiser 100ml"" property=""og:title""/>",Bulldog Original Moisturiser 100ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/10599976-1404461279821304.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/10599976-1404461279821304.jpg
